link,address,price,beds,bath,date_added,available_date,deposit,furnish_type,property_type,station_1,station_1_dist,station_2,station_2_dist,station_3,station_3_dist
https://www.rightmove.co.uk/properties/148222094#/?channel=RES_LET,"Tollcross Road, Glasgow, G32","£1,200 pcm",2,1,21/05/2024,Ask agent,Ask agent,Unfurnished,Flat,Carntyne Station,0.6 miles,Shettleston Station,0.9 miles,Carmyle Station,1.2 miles
https://www.rightmove.co.uk/properties/149414060#/?channel=RES_LET,"Glen Orchy Place, Darnley, Glasgow, G53","£1,295 pcm",3,2,20/05/2024,01/07/2024,£500,Unfurnished,End of Terrace,Priesthill & Darnley Station,0.4 miles,Kennishead Station,0.7 miles,Nitshill Station,0.9 miles
https://www.rightmove.co.uk/properties/149089103#/?channel=RES_LET,"Flat 3/2 20 Partickhill Road, Glasgow G11 5B","£1,750 pcm",2,2,20/05/2024,28/06/2024,"£2,625",Unfurnished,Flat,Kelvinhall Station,0.3 miles,Partick Station,0.3 miles,Partick Station,0.3 miles
https://www.rightmove.co.uk/properties/137298176#/?channel=RES_LET,"Wallace Street, Glasgow, G5","£1,495 pcm",3,2,20/05/2024,Now,"£1,695",Unfurnished,Flat,West Street Station,0.2 miles,Bridge Street Station,0.3 miles,Shields Road Station,0.5 miles
https://www.rightmove.co.uk/properties/83728469#/?channel=RES_LET,"Oswald Street, Glasgow, G1","£1,295 pcm",2,2,20/05/2024,Now,"£1,495",Furnished,Flat,Glasgow Central Station,0.1 miles,St. Enoch Station,0.3 miles,Bridge Street Station,0.3 miles
https://www.rightmove.co.uk/properties/149028359#/?channel=RES_LET,"Arlington Street, Glasgow, G3","£2,750 pcm",4,,20/05/2024,Now,"£2,870",Furnished,House of Multiple Occupation,St. George's Cross Station,0.2 miles,Charing Cross (Glasgow) Station,0.2 miles,Kelvinbridge Station,0.4 miles
https://www.rightmove.co.uk/properties/148186943#/?channel=RES_LET,"Cumlodden Drive, Maryhill",£695 pcm,1,1,20/05/2024,Now,£869,Furnished,Apartment,Summerston Station,0.4 miles,Maryhill Station,0.4 miles,Gilsochill Station,0.5 miles
https://www.rightmove.co.uk/properties/148177958#/?channel=RES_LET,"Dodside Gardens, Sandyhills",£800 pcm,2,1,20/05/2024,Now,"£1,200",Unfurnished,Flat,Shettleston Station,0.5 miles,Mount Vernon Station,0.8 miles,Garrowhill Station,0.9 miles
https://www.rightmove.co.uk/properties/148176908#/?channel=RES_LET,"Laurel Place, Flat 1/1, Thornwood, Glasgow, G11 7RE",£950 pcm,1,1,20/05/2024,Now,"£1,900",Unfurnished,Flat,Partick Station,0.4 miles,Partick Station,0.4 miles,Hyndland Station,0.5 miles
https://www.rightmove.co.uk/properties/148174382#/?channel=RES_LET,"Doon Way, Kirkintilloch, Glasgow",£650 pcm,1,1,20/05/2024,Now,£900,Unfurnished,Flat,Lenzie Station,1.8 miles,Croy Station,3.8 miles,Stepps Station,3.8 miles
